norm,side,context_entropy,n_context
وص,next,2.8553885421959917,12
وض,prev,1.491114850049415,11
وض,next,2.550340709536289,11
ٱنق,prev,2.6416041678584943,9
ٱنق,next,0.5032583347727604,9
ٱط,prev,2.50325833476699,9
ٱط,next,2.4193819456377152,9
لس,prev,0.9910760598353369,9
لس,next,2.2810361125447676,9
لذ,prev,0.764204506505735,9
لذ,next,1.3921472236602066,9
اش,prev,2.0588138903239876,9
اش,next,2.6416041678584943,9
ٱنص,prev,1.8910611120668819,9
ٱنص,next,1.4466166676224375,9
ٱن,prev,1.842370993171338,7
ٱن,next,1.950212064908976,7
وش,prev,1.1488348542765885,7
وش,next,1.842370993171338,7
يش,prev,0.6500224216454688,6
يش,next,1.9182958340487186,6
ٱنش,prev,2.2516291673806093,6
ٱنش,next,0.9182958340516041,6
يج,prev,1.2516291673834947,6
يج,next,1.4591479170229167,6
ٱز,prev,0.9709505944517833,5
ٱز,next,1.3709505944503406,5
اظ,prev,1.9219280948815916,5
اظ,next,1.9219280948815916,5
لد,prev,0.8112781244562475,4
لد,next,0.8112781244562475,4
طت,prev,1.499999999995672,4
طت,next,1.9999999999942293,4
ٱنك,prev,0.9182958340516041,3
ٱنك,next,0.9182958340516041,3
يغ,prev,1.584962500716828,3
يغ,next,1.584962500716828,3
وظ,prev,-1.4428232973175175e-12,2
وظ,next,0.9999999999971146,2
يذ,prev,0.9999999999971146,2
يذ,next,0.9999999999971146,2
