sura,n_chars,n_chars_no_diac,n_diac,n_words,n_verses,diac_per_char,diac_per_word
30,7617,4402,3215,3046,60,0.7303498409813721,1.0554826001313198
31,4807,2805,2002,1888,34,0.7137254901960784,1.0603813559322033
32,3411,1983,1428,1387,30,0.7201210287443268,1.0295602018745493
33,12417,7245,5172,4946,73,0.713871635610766,1.0456934896886372
34,7905,4612,3293,3170,54,0.7140069384215091,1.038801261829653
35,7104,4146,2958,2804,45,0.7134587554269175,1.0549215406562054
36,6621,3849,2772,2741,83,0.7201870615744349,1.0113097409704488
37,8217,4712,3505,3402,182,0.7438455008488964,1.0302763080540858
38,6729,3884,2845,2709,88,0.7324922760041195,1.050203026947213
39,10686,6166,4520,4240,75,0.733052221861823,1.0660377358490567
40,11096,6455,4641,4413,85,0.7189775367931835,1.0516655336505778
41,7377,4286,3091,2966,54,0.7211852543163789,1.0421443020903574
42,7736,4518,3218,3052,53,0.7122620628596724,1.0543905635648756
43,7870,4512,3358,3256,89,0.7442375886524822,1.0313267813267812
44,3198,1849,1349,1290,59,0.7295835586803677,1.0457364341085271
45,4571,2646,1925,1836,37,0.7275132275132276,1.048474945533769
46,5857,3406,2451,2366,35,0.7196124486200822,1.0359256128486898
47,5307,3032,2275,2133,38,0.7503298153034301,1.06657290201594
48,5416,3167,2249,2160,29,0.7101357751815598,1.0412037037037036
49,3371,1952,1419,1319,18,0.7269467213114754,1.0758150113722518
50,3328,1939,1389,1346,45,0.7163486333161423,1.0319465081723627
51,3329,1929,1400,1341,60,0.7257646448937273,1.0439970171513795
52,2894,1673,1221,1170,49,0.7298266586969516,1.0435897435897437
53,3146,1787,1359,1287,62,0.7604924454392837,1.055944055944056
54,3260,1867,1393,1323,55,0.7461167648634173,1.052910052910053
55,3571,2012,1559,1460,78,0.7748508946322068,1.0678082191780822
56,3723,2140,1583,1523,96,0.7397196261682243,1.0393959290873276
57,5524,3221,2303,2168,29,0.7149953430611611,1.062269372693727
58,4493,2599,1894,1762,22,0.7287418237783763,1.0749148694665154
59,4264,2481,1783,1675,24,0.7186618299072954,1.0644776119402986
60,3420,1970,1450,1363,13,0.7360406091370558,1.0638297872340425
61,2110,1232,878,826,14,0.7126623376623377,1.062953995157385
62,1674,979,695,655,11,0.7099080694586313,1.0610687022900764
63,1779,1018,761,713,11,0.7475442043222004,1.067321178120617
64,2390,1383,1007,935,18,0.7281272595806219,1.0770053475935828
65,2737,1564,1173,1078,12,0.75,1.088126159554731
66,2439,1406,1033,971,12,0.7347083926031295,1.0638516992790936
67,2965,1735,1230,1197,30,0.7089337175792507,1.0275689223057645
68,2790,1594,1196,1160,52,0.7503136762860728,1.0310344827586206
69,2439,1405,1034,1010,52,0.7359430604982207,1.0237623762376238
70,2097,1197,900,847,44,0.7518796992481203,1.062573789846517
71,2099,1230,869,864,28,0.7065040650406504,1.005787037037037
72,2482,1443,1039,1021,28,0.72002772002772,1.0176297747306562
73,1877,1103,774,747,20,0.7017225747960109,1.036144578313253
74,2274,1297,977,938,56,0.7532767925983038,1.0415778251599148
75,1513,844,669,617,40,0.792654028436019,1.0842787682333874
76,2344,1389,955,973,31,0.687544996400288,0.9815005138746146
77,1828,1041,787,765,50,0.7560038424591738,1.0287581699346404
78,1689,995,694,697,40,0.6974874371859296,0.9956958393113343
79,1692,960,732,713,46,0.7625,1.026647966339411
80,1262,698,564,528,42,0.8080229226361032,1.0681818181818181
81,942,546,396,389,29,0.7252747252747253,1.0179948586118253
82,742,428,314,302,19,0.7336448598130841,1.0397350993377483
83,1621,931,690,649,36,0.7411385606874329,1.0631741140215716
84,986,563,423,407,25,0.7513321492007105,1.0393120393120394
85,1014,596,418,397,22,0.7013422818791947,1.0528967254408061
86,575,335,240,226,17,0.7164179104477612,1.0619469026548674
87,670,376,294,277,19,0.7819148936170213,1.0613718411552346
88,851,494,357,354,26,0.7226720647773279,1.0084745762711864
89,1287,734,553,526,30,0.7534059945504087,1.0513307984790874
90,773,446,327,327,20,0.7331838565022422,1.0
91,547,318,229,241,15,0.720125786163522,0.950207468879668
92,709,391,318,301,21,0.8132992327365729,1.0564784053156147
93,397,223,174,166,11,0.7802690582959642,1.0481927710843373
94,254,146,108,107,8,0.7397260273972602,1.0093457943925233
95,371,216,155,146,8,0.7175925925925926,1.0616438356164384
96,655,371,284,266,19,0.7654986522911051,1.0676691729323309
97,293,167,126,118,5,0.7544910179640718,1.0677966101694916
98,923,530,393,360,8,0.7415094339622641,1.0916666666666666
99,374,216,158,157,8,0.7314814814814815,1.0063694267515924
100,403,231,172,164,11,0.7445887445887446,1.048780487804878
101,361,211,150,143,11,0.7109004739336493,1.048951048951049
102,298,167,131,119,8,0.7844311377245509,1.1008403361344539
103,188,109,79,72,3,0.7247706422018348,1.0972222222222223
104,338,190,148,135,9,0.7789473684210526,1.0962962962962963
105,248,144,104,101,5,0.7222222222222222,1.0297029702970297
106,204,117,87,81,4,0.7435897435897436,1.0740740740740742
107,271,157,114,104,7,0.7261146496815286,1.0961538461538463
108,133,74,59,52,3,0.7972972972972973,1.1346153846153846
109,249,144,105,101,6,0.7291666666666666,1.0396039603960396
110,210,123,87,79,3,0.7073170731707317,1.1012658227848102
111,219,128,91,87,5,0.7109375,1.0459770114942528
112,142,83,59,53,4,0.7108433734939759,1.1132075471698113
113,196,115,81,79,5,0.7043478260869566,1.0253164556962024
114,200,119,81,71,6,0.680672268907563,1.1408450704225352
