sura,n_verses,total_chars,mean_chars_per_verse,total_chars_no_diac,total_words,mean_words_per_verse
59,24,3808,158.66666666666666,1995,465,19.375
60,13,3056,235.07692307692307,1584,370,28.46153846153846
61,14,1887,134.78571428571428,987,231,16.5
62,11,1497,136.0909090909091,791,190,17.272727272727273
63,11,1592,144.72727272727272,824,189,17.181818181818183
64,18,2141,118.94444444444444,1113,266,14.777777777777779
65,12,2434,202.83333333333334,1228,298,24.833333333333332
66,12,2184,182.0,1124,262,21.833333333333332
67,30,2643,88.1,1374,344,11.466666666666667
68,52,2531,48.67307692307692,1310,312,6.0
69,52,2225,42.78846153846154,1150,274,5.269230769230769
70,44,1915,43.52272727272727,990,234,5.318181818181818
71,28,1894,67.64285714285714,984,237,8.464285714285714
72,28,2214,79.07142857142857,1134,290,10.357142857142858
73,20,1680,84.0,876,215,10.75
74,56,2062,36.82142857142857,1060,268,4.785714285714286
75,40,1384,34.6,701,174,4.35
76,31,2121,68.41935483870968,1113,252,8.129032258064516
77,50,1692,33.84,859,194,3.88
78,40,1549,38.725,814,180,4.5
79,46,1554,33.78260869565217,806,193,4.195652173913044
80,42,1167,27.785714285714285,573,137,3.261904761904762
81,29,863,29.75862068965517,454,112,3.8620689655172415
82,19,676,35.578947368421055,353,86,4.526315789473684
83,36,1481,41.138888888888886,777,174,4.833333333333333
84,25,899,35.96,468,115,4.6
85,22,921,41.86363636363637,490,121,5.5
86,17,527,31.0,274,71,4.176470588235294
87,19,612,32.21052631578947,317,79,4.157894736842105
88,26,781,30.03846153846154,403,96,3.6923076923076925
89,30,1174,39.13333333333333,604,150,5.0
90,20,707,35.35,367,89,4.45
91,15,504,33.6,272,64,4.266666666666667
92,21,655,31.19047619047619,334,83,3.9523809523809526
93,11,364,33.09090909090909,186,46,4.181818181818182
94,8,231,28.875,122,33,4.125
95,8,341,42.625,184,41,5.125
96,19,597,31.42105263157895,310,82,4.315789473684211
97,5,264,52.8,135,35,7.0
98,8,829,103.625,428,100,12.5
99,8,342,42.75,178,40,5.0
100,11,369,33.54545454545455,188,47,4.2727272727272725
101,11,332,30.181818181818183,178,42,3.8181818181818183
102,8,274,34.25,143,32,4.0
103,3,173,57.666666666666664,94,21,7.0
104,9,309,34.333333333333336,154,37,4.111111111111111
105,5,226,45.2,117,27,5.4
106,4,187,46.75,98,22,5.5
107,7,249,35.57142857142857,134,30,4.285714285714286
108,3,122,40.666666666666664,63,15,5.0
109,6,225,37.5,119,30,5.0
110,3,189,63.0,100,25,8.333333333333334
111,5,197,39.4,101,28,5.6
112,4,127,31.75,67,19,4.75
113,5,174,34.8,93,27,5.4
114,6,182,30.333333333333332,101,25,4.166666666666667
