sura,aya,combined_score
2,193,0.9777252390744742
2,194,0.8845765703275598
2,195,0.9654827742308595
2,196,0.515134152602536
2,197,0.843199832042882
2,198,0.8761009186197046
2,199,0.9801294608338565
2,200,0.8994406674657465
2,201,0.979192937058704
2,202,0.9974318695040748
2,203,0.8703101147575413
2,204,0.9520981031738329
2,205,0.9537672744712207
2,206,0.985683032447219
2,207,0.9747064309941886
2,208,0.955286835854668
2,209,0.9801294608338565
2,210,0.9619322304347528
2,211,0.9340562750225434
2,212,0.9188455673588116
2,213,0.6057625396208844
2,214,0.8190189929377902
2,215,0.8903389198257498
2,216,0.8887918686255378
2,217,0.5528636067142416
2,218,0.9624913141693822
2,219,0.8241501961700136
2,220,0.8548103632057976
2,221,0.654590781814988
2,222,0.8422393671829056
2,223,0.931434347160701
2,224,0.9731111246031473
2,225,0.9700274610496356
2,226,0.9824393741897274
2,227,0.9816836991006215
2,228,0.6579782858468584
2,229,0.638071239008434
2,230,0.8517020104311965
2,231,0.616770659345268
2,232,0.7496950943579151
2,233,0.5232206212082885
2,234,0.8444950166133868
2,235,0.6230700666253429
2,236,0.8773033961040878
2,237,0.7706388827325987
2,238,0.9854889709791349
2,239,0.9658229516448255
2,240,0.8615137960144177
2,241,0.9755950210804336
2,242,0.9757836232206185
2,243,0.8729532339835706
2,244,0.9853029451383424
2,245,0.9635879526052368
2,246,0.5878162562939586
2,247,0.6699081548604775
2,248,0.8451387493140967
2,249,0.5546849172835183
2,250,0.9403371618984007
2,251,0.8445947445982329
2,252,0.9942661136015074
2,253,0.6004299181085722
2,254,0.9268430242616653
2,255,0.6252547293164354
2,256,0.867791994776093
2,257,0.8395628480412336
2,258,0.6779140447903783
2,259,0.5405450409042261
2,260,0.7227799781912139
2,261,0.8879489636159359
2,262,0.9079157608153765
2,263,0.9799027278151384
2,264,0.6673544709477351
2,265,0.8387732425393217
2,266,0.7425630557558498
2,267,0.8333120858270882
2,268,0.9667640629425904
2,269,0.9724358748949602
2,270,0.9730737730454215
2,271,0.9299273774221206
2,272,0.8683840950265176
2,273,0.8156921606585528
2,274,0.9544623334253776
2,275,0.6389367805233196
2,276,0.9890882076018757
2,277,0.9246542176512494
2,278,0.9823134496044225
2,279,0.9658032860599046
2,280,0.973301485647895
2,281,0.9429783139846588
2,282,0.49999998495766607
2,283,0.7765595336074764
2,284,0.8562873420159329
2,285,0.8466399560450969
2,286,0.6176742982018928
3,1,0.9795701572661314
3,2,0.9597821201994405
3,3,0.9865469185012745
3,4,0.9496823815032429
3,5,0.962076850844863
3,6,0.9828286216757084
3,7,0.6251843899844163
3,8,0.9612555640738341
3,9,0.9758020440982609
3,10,0.9709083077516865
3,11,0.9653548836925958
3,12,0.9816574971837921
3,13,0.850007641011578
3,14,0.8320330560698789
3,15,0.8829140979861723
3,16,0.9818390512565411
3,17,0.9625299201617667
3,18,0.9321845273638785
3,19,0.8879446803083673
3,20,0.8422470576421239
3,21,0.924354169879873
3,22,0.9859112853096896
3,23,0.9409374287634082
3,24,0.9777630188843041
3,25,0.9622892028666994
3,26,0.8992769221043406
3,27,0.9326742374465979
3,28,0.8720156075176431
3,29,0.8931470059308066
3,30,0.8641830404210109
3,31,0.9646991439308824
3,32,0.9903127287070046
3,33,0.9865808223571535
3,34,0.9495533913557521
3,35,0.9490024439395551
3,36,0.888564034758577
3,37,0.7867129377531027
3,38,0.957936052670264
3,39,0.9024129108578494
3,40,0.9421802930478382
3,41,0.9029036818354891
3,42,0.9675676264939808
3,43,0.9919545993438492
3,44,0.9407255543181066
3,45,0.9231591592509781
3,46,0.9789040363310975
3,47,0.8951065056965868
