sura,aya,lof_score,lof_is_anom
2,220,-0.9976512629338782,0
2,221,-1.107706085818726,0
2,222,-1.0110377983590375,0
2,223,-1.0786112803331962,0
2,224,-0.990010423309549,0
2,225,-1.0642173325470101,0
2,226,-1.0754903725587035,0
2,227,-1.066777268968519,0
2,228,-0.9865224054081752,0
2,229,-0.9695087750934169,0
2,230,-1.0365967077099363,0
2,231,-0.9861919680138241,0
2,232,-0.9775041433356734,0
2,233,-1.0422981765058323,0
2,234,-0.9973954606594859,0
2,235,-0.9996854341233625,0
2,236,-1.0318429372746318,0
2,237,-0.9988863523229028,0
2,238,-0.9997099997187598,0
2,239,-1.095672793826282,0
2,240,-0.9902383750372726,0
2,241,-0.9827367657571692,0
2,242,-1.165650166872613,0
2,243,-1.071007241757479,0
2,244,-0.9873380945473667,0
2,245,-1.0099049689345119,0
2,246,-1.3039422794716529,0
2,247,-1.3209789594374959,0
2,248,-1.0024946853226702,0
2,249,-1.143482627100935,0
2,250,-1.1342952808897666,0
2,251,-1.0047166799042795,0
2,252,-0.9636983226453018,0
2,253,-1.0536978733132993,0
2,254,-0.9933258410533117,0
2,255,-1.1183142874301184,0
2,256,-1.280405928871236,0
2,257,-1.092199667780458,0
2,258,-1.113696048748899,0
2,259,-0.9992710002277766,0
2,260,-1.0675539148863877,0
2,261,-1.0363486993622142,0
2,262,-1.0139944843600326,0
2,263,-1.5038684438908825,0
2,264,-1.0042598529477922,0
2,265,-1.0070720843891205,0
2,266,-0.9774781469942223,0
2,267,-0.9901551647019013,0
2,268,-1.0301879078382519,0
2,269,-0.9644425097660845,0
2,270,-1.0067084096805035,0
2,271,-1.037793411491489,0
2,272,-0.9841345708332797,0
2,273,-1.0893966202518546,0
2,274,-0.9759255485166056,0
2,275,-0.9895512534830248,0
2,276,-0.9603511550379503,0
2,277,-1.0157792707636737,0
2,278,-1.2286286551402512,0
2,279,-0.9718082655824076,0
2,280,-1.1143723039105953,0
2,281,-1.0184790313841587,0
2,282,-6.930108295711442,1
2,283,-1.0561359433733681,0
2,284,-1.2598768050117104,0
2,285,-0.9830669910987064,0
2,286,-1.2078829945237524,0
3,1,-1.0395757089980229,0
3,2,-1.0725907906773888,0
3,3,-0.9522994678666826,0
3,4,-1.0125839579139584,0
3,5,-1.1951326364413513,0
3,6,-0.9579478910827476,0
3,7,-0.9790110176353494,0
3,8,-1.0973451053658936,0
3,9,-1.0054178085119467,0
3,10,-1.0048716472023071,0
3,11,-1.0117950459467115,0
3,12,-0.9481525366885244,0
3,13,-0.9966190438893514,0
3,14,-0.9969003327587261,0
3,15,-1.0561044308207024,0
3,16,-1.1870473545003222,0
3,17,-1.3240412295023518,0
3,18,-0.9864707328308029,0
3,19,-1.009662315828958,0
3,20,-1.006300033790803,0
3,21,-1.0084393966500738,0
3,22,-1.0317162783846947,0
3,23,-0.9905494254393974,0
3,24,-0.9954795304833549,0
3,25,-1.0603866761794334,0
3,26,-1.0003307169540334,0
3,27,-1.0038159465394083,0
3,28,-0.9809350348979399,0
3,29,-1.2006456384499191,0
3,30,-1.3343135468665313,0
3,31,-0.9820356734952067,0
3,32,-1.0152431751976767,0
3,33,-1.0286031445994894,0
3,34,-1.0891326356168531,0
3,35,-1.0135533616875283,0
3,36,-0.993557821353571,0
3,37,-0.9917796700237087,0
3,38,-1.187340710294243,0
3,39,-1.0687313721572471,0
3,40,-1.095075043018909,0
3,41,-1.0957237230672034,0
3,42,-0.9930797026799791,0
3,43,-1.0333821788460866,0
3,44,-0.9760195279467808,0
3,45,-1.0117791147132162,0
3,46,-0.9605286915622278,0
3,47,-1.0958372718142784,0
3,48,-0.9748941618777296,0
3,49,-1.002061712870404,0
3,50,-1.0055737268729528,0
3,51,-1.070517628134594,0
3,52,-1.0674443951692048,0
3,53,-1.0961299365746593,0
3,54,-0.9926471986083885,0
3,55,-1.0509782896658932,0
3,56,-1.030164546765796,0
3,57,-1.160938166157235,0
3,58,-0.9839880434626693,0
3,59,-1.135279711707368,0
3,60,-1.0725907906773888,0
3,61,-1.1138175016022582,0
3,62,-0.9691851636232125,0
3,63,-0.9573550050990761,0
3,64,-1.0113763203826966,0
3,65,-0.9791808668536219,0
3,66,-0.9995262463107013,0
3,67,-1.030164546765796,0
3,68,-0.9741168015281266,0
3,69,-1.0059407200824697,0
3,70,-0.968714640975648,0
3,71,-0.9632492639016282,0
3,72,-1.0052128931208624,0
3,73,-1.4087626146857302,0
3,74,-1.0062980415714116,0
3,75,-0.9762812401532196,0
3,76,-1.01140119665604,0
3,77,-0.9899522143967798,0
3,78,-1.0424516241869335,0
3,79,-1.0243691543240272,0
3,80,-0.9831491266034507,0
